loan_to_income_ratio,loan_to_income_band
0.4,High Ratio
0.1,Moderate Ratio
0.21,Moderate Ratio
1.9,High Ratio
0.48,High Ratio
0.17,Moderate Ratio
0.61,High Ratio
2.0,High Ratio
0.4,High Ratio
0.19,Moderate Ratio
0.42,High Ratio
1.75,High Ratio
1.48,High Ratio
0.17,Moderate Ratio
0.1,Moderate Ratio
1.9,High Ratio
0.12,Moderate Ratio
0.31,High Ratio
0.67,High Ratio
0.11,Moderate Ratio
0.26,Moderate Ratio
0.28,Moderate Ratio
1.81,High Ratio
0.06,Low Ratio
0.33,High Ratio
0.2,Moderate Ratio
0.06,Low Ratio
0.12,Moderate Ratio
0.03,Low Ratio
0.8,High Ratio
1.15,High Ratio
0.16,Moderate Ratio
0.33,High Ratio
1.43,High Ratio
0.43,High Ratio
0.77,High Ratio
1.6,High Ratio
0.03,Low Ratio
0.05,Low Ratio
0.17,Moderate Ratio
0.64,High Ratio
0.33,High Ratio
0.18,Moderate Ratio
0.09,Low Ratio
0.19,Moderate Ratio
0.05,Low Ratio
0.19,Moderate Ratio
1.67,High Ratio
0.42,High Ratio
0.17,Moderate Ratio
4.76,High Ratio
1.6,High Ratio
0.25,Moderate Ratio
1.11,High Ratio
0.13,Moderate Ratio
0.29,Moderate Ratio
0.12,Moderate Ratio
0.23,Moderate Ratio
0.38,High Ratio
0.92,High Ratio
0.13,Moderate Ratio
1.25,High Ratio
0.82,High Ratio
2.0,High Ratio
0.1,Low Ratio
0.15,Moderate Ratio
0.45,High Ratio
0.18,Moderate Ratio
0.08,Low Ratio
0.14,Moderate Ratio
0.37,High Ratio
0.19,Moderate Ratio
0.22,Moderate Ratio
3.0,High Ratio
1.1,High Ratio
0.06,Low Ratio
1.0,High Ratio
0.14,Moderate Ratio
0.15,Moderate Ratio
1.33,High Ratio
0.33,High Ratio
0.87,High Ratio
0.36,High Ratio
0.19,Moderate Ratio
0.11,Moderate Ratio
1.92,High Ratio
1.19,High Ratio
1.02,High Ratio
0.1,Low Ratio
0.75,High Ratio
0.23,Moderate Ratio
0.44,High Ratio
0.19,Moderate Ratio
3.2,High Ratio
3.33,High Ratio
0.5,High Ratio
0.4,High Ratio
0.22,Moderate Ratio
0.3,Moderate Ratio
2.09,High Ratio
3.33,High Ratio
0.56,High Ratio
0.11,Moderate Ratio
1.0,High Ratio
0.37,High Ratio
0.12,Moderate Ratio
0.05,Low Ratio
0.16,Moderate Ratio
2.08,High Ratio
0.2,Moderate Ratio
0.22,Moderate Ratio
0.33,High Ratio
1.67,High Ratio
1.15,High Ratio
0.14,Moderate Ratio
0.03,Low Ratio
0.09,Low Ratio
0.06,Low Ratio
0.29,Moderate Ratio
0.13,Moderate Ratio
2.0,High Ratio
4.44,High Ratio
0.12,Moderate Ratio
0.3,Moderate Ratio
0.1,Moderate Ratio
0.03,Low Ratio
0.23,Moderate Ratio
0.19,Moderate Ratio
0.15,Moderate Ratio
0.21,Moderate Ratio
0.1,Moderate Ratio
0.6,High Ratio
0.1,Moderate Ratio
0.2,Moderate Ratio
0.04,Low Ratio
0.19,Moderate Ratio
0.09,Low Ratio
0.52,High Ratio
2.4,High Ratio
0.26,Moderate Ratio
1.94,High Ratio
0.17,Moderate Ratio
0.45,High Ratio
0.43,High Ratio
1.67,High Ratio
0.08,Low Ratio
2.45,High Ratio
0.06,Low Ratio
1.76,High Ratio
0.07,Low Ratio
0.27,Moderate Ratio
0.2,Moderate Ratio
0.04,Low Ratio
0.13,Moderate Ratio
0.2,Moderate Ratio
0.33,High Ratio
0.1,Low Ratio
0.18,Moderate Ratio
0.1,Moderate Ratio
1.5,High Ratio
0.4,High Ratio
0.05,Low Ratio
1.27,High Ratio
1.71,High Ratio
0.33,High Ratio
0.14,Moderate Ratio
0.12,Moderate Ratio
0.5,High Ratio
0.07,Low Ratio
1.25,High Ratio
0.3,Moderate Ratio
0.64,High Ratio
0.67,High Ratio
0.71,High Ratio
2.08,High Ratio
2.8,High Ratio
0.13,Moderate Ratio
0.3,Moderate Ratio
0.17,Moderate Ratio
0.12,Moderate Ratio
0.2,Moderate Ratio
1.38,High Ratio
0.09,Low Ratio
0.2,Moderate Ratio
0.93,High Ratio
0.19,Moderate Ratio
0.17,Moderate Ratio
0.15,Moderate Ratio
0.25,Moderate Ratio
0.06,Low Ratio
3.85,High Ratio
0.38,High Ratio
0.09,Low Ratio
2.21,High Ratio
1.6,High Ratio
0.1,Moderate Ratio
0.06,Low Ratio
0.26,Moderate Ratio
1.6,High Ratio
0.04,Low Ratio
0.31,High Ratio
0.12,Moderate Ratio
0.29,Moderate Ratio
0.08,Low Ratio
1.43,High Ratio
0.05,Low Ratio
1.07,High Ratio
0.06,Low Ratio
0.2,Moderate Ratio
0.86,High Ratio
0.17,Moderate Ratio
0.28,Moderate Ratio
1.6,High Ratio
0.21,Moderate Ratio
0.08,Low Ratio
0.06,Low Ratio
0.15,Moderate Ratio
0.11,Moderate Ratio
1.27,High Ratio
0.13,Moderate Ratio
0.34,High Ratio
0.16,Moderate Ratio
3.79,High Ratio
0.18,Moderate Ratio
2.78,High Ratio
0.24,Moderate Ratio
0.08,Low Ratio
0.89,High Ratio
0.17,Moderate Ratio
0.07,Low Ratio
0.57,High Ratio
3.06,High Ratio
0.05,Low Ratio
0.95,High Ratio
0.14,Moderate Ratio
0.17,Moderate Ratio
1.36,High Ratio
0.87,High Ratio
1.09,High Ratio
0.06,Low Ratio
1.3,High Ratio
0.08,Low Ratio
0.27,Moderate Ratio
1.43,High Ratio
1.0,High Ratio
0.13,Moderate Ratio
0.06,Low Ratio
0.04,Low Ratio
3.33,High Ratio
1.43,High Ratio
1.33,High Ratio
0.2,Moderate Ratio
2.39,High Ratio
0.4,High Ratio
0.11,Moderate Ratio
0.24,Moderate Ratio
0.08,Low Ratio
0.11,Moderate Ratio
0.06,Low Ratio
0.2,Moderate Ratio
0.15,Moderate Ratio
0.18,Moderate Ratio
0.56,High Ratio
3.0,High Ratio
2.91,High Ratio
0.07,Low Ratio
0.04,Low Ratio
0.28,Moderate Ratio
0.13,Moderate Ratio
0.71,High Ratio
1.02,High Ratio
4.82,High Ratio
0.19,Moderate Ratio
0.28,Moderate Ratio
0.2,Moderate Ratio
0.09,Low Ratio
2.67,High Ratio
2.25,High Ratio
0.08,Low Ratio
0.16,Moderate Ratio
1.92,High Ratio
1.96,High Ratio
0.2,Moderate Ratio
0.2,Moderate Ratio
0.21,Moderate Ratio
1.67,High Ratio
1.4,High Ratio
0.21,Moderate Ratio
0.31,High Ratio
2.92,High Ratio
0.33,High Ratio
0.21,Moderate Ratio
0.63,High Ratio
0.42,High Ratio
2.47,High Ratio
0.12,Moderate Ratio
0.05,Low Ratio
1.48,High Ratio
0.82,High Ratio
2.08,High Ratio
0.16,Moderate Ratio
0.07,Low Ratio
0.81,High Ratio
0.22,Moderate Ratio
0.04,Low Ratio
0.09,Low Ratio
0.03,Low Ratio
2.43,High Ratio
1.39,High Ratio
0.15,Moderate Ratio
0.11,Moderate Ratio
0.06,Low Ratio
0.08,Low Ratio
0.1,Low Ratio
0.13,Moderate Ratio
1.04,High Ratio
0.25,Moderate Ratio
1.92,High Ratio
0.17,Moderate Ratio
0.04,Low Ratio
2.14,High Ratio
0.12,Moderate Ratio
0.13,Moderate Ratio
0.25,Moderate Ratio
0.21,Moderate Ratio
0.2,Moderate Ratio
0.11,Moderate Ratio
0.21,Moderate Ratio
1.63,High Ratio
0.35,High Ratio
0.15,Moderate Ratio
0.03,Low Ratio
0.17,Moderate Ratio
0.07,Low Ratio
0.06,Low Ratio
0.07,Low Ratio
1.33,High Ratio
0.04,Low Ratio
0.16,Moderate Ratio
0.37,High Ratio
0.13,Moderate Ratio
1.5,High Ratio
1.06,High Ratio
0.14,Moderate Ratio
0.1,Moderate Ratio
0.04,Low Ratio
1.96,High Ratio
0.13,Moderate Ratio
0.3,Moderate Ratio
0.09,Low Ratio
0.19,Moderate Ratio
0.14,Moderate Ratio
0.02,Low Ratio
0.18,Moderate Ratio
1.02,High Ratio
1.25,High Ratio
0.17,Moderate Ratio
0.08,Low Ratio
1.0,High Ratio
0.15,Moderate Ratio
2.0,High Ratio
0.08,Low Ratio
2.0,High Ratio
0.36,High Ratio
0.05,Low Ratio
0.28,Moderate Ratio
0.23,Moderate Ratio
2.92,High Ratio
0.11,Moderate Ratio
0.13,Moderate Ratio
0.05,Low Ratio
0.17,Moderate Ratio
2.5,High Ratio
0.05,Low Ratio
0.8,High Ratio
0.06,Low Ratio
0.1,Moderate Ratio
3.13,High Ratio
0.2,Moderate Ratio
0.1,Moderate Ratio
0.21,Moderate Ratio
0.28,Moderate Ratio
0.08,Low Ratio
3.45,High Ratio
0.17,Moderate Ratio
0.26,Moderate Ratio
0.17,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.06,Low Ratio
1.6,High Ratio
0.11,Moderate Ratio
4.0,High Ratio
0.13,Moderate Ratio
0.21,Moderate Ratio
0.1,Moderate Ratio
0.28,Moderate Ratio
0.1,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.09,Low Ratio
0.08,Low Ratio
0.09,Low Ratio
0.16,Moderate Ratio
1.25,High Ratio
0.1,Moderate Ratio
0.17,Moderate Ratio
1.11,High Ratio
0.08,Low Ratio
0.21,Moderate Ratio
0.27,Moderate Ratio
1.54,High Ratio
0.08,Low Ratio
0.13,Moderate Ratio
2.14,High Ratio
1.67,High Ratio
1.57,High Ratio
0.13,Moderate Ratio
3.75,High Ratio
1.2,High Ratio
0.02,Low Ratio
0.08,Low Ratio
2.38,High Ratio
0.82,High Ratio
0.13,Moderate Ratio
0.11,Moderate Ratio
0.24,Moderate Ratio
3.79,High Ratio
0.13,Moderate Ratio
2.27,High Ratio
0.25,Moderate Ratio
0.1,Low Ratio
1.19,High Ratio
0.18,Moderate Ratio
0.16,Moderate Ratio
0.17,Moderate Ratio
1.67,High Ratio
0.14,Moderate Ratio
0.11,Moderate Ratio
0.19,Moderate Ratio
0.16,Moderate Ratio
0.22,Moderate Ratio
0.07,Low Ratio
0.18,Moderate Ratio
0.16,Moderate Ratio
0.06,Low Ratio
0.1,Moderate Ratio
0.1,Moderate Ratio
0.08,Low Ratio
0.9,High Ratio
0.13,Moderate Ratio
0.75,High Ratio
0.07,Low Ratio
0.12,Moderate Ratio
0.29,Moderate Ratio
0.21,Moderate Ratio
0.17,Moderate Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
0.31,High Ratio
0.6,High Ratio
1.43,High Ratio
0.29,Moderate Ratio
0.28,Moderate Ratio
2.0,High Ratio
0.49,High Ratio
0.25,Moderate Ratio
1.67,High Ratio
0.08,Low Ratio
0.08,Low Ratio
0.04,Low Ratio
0.3,Moderate Ratio
0.08,Low Ratio
0.97,High Ratio
1.9,High Ratio
0.13,Moderate Ratio
1.25,High Ratio
0.16,Moderate Ratio
0.1,Moderate Ratio
1.5,High Ratio
3.46,High Ratio
0.14,Moderate Ratio
0.22,Moderate Ratio
0.11,Moderate Ratio
0.09,Low Ratio
0.13,Moderate Ratio
0.27,Moderate Ratio
0.19,Moderate Ratio
0.32,High Ratio
0.23,Moderate Ratio
0.13,Moderate Ratio
0.27,Moderate Ratio
0.27,Moderate Ratio
0.17,Moderate Ratio
0.13,Moderate Ratio
0.98,High Ratio
1.5,High Ratio
0.17,Moderate Ratio
1.18,High Ratio
0.13,Moderate Ratio
2.0,High Ratio
1.27,High Ratio
0.33,High Ratio
0.1,Moderate Ratio
0.06,Low Ratio
1.6,High Ratio
0.2,Moderate Ratio
0.19,Moderate Ratio
0.3,High Ratio
0.1,Moderate Ratio
0.11,Moderate Ratio
0.31,High Ratio
0.09,Low Ratio
1.0,High Ratio
0.13,Moderate Ratio
0.04,Low Ratio
0.03,Low Ratio
2.07,High Ratio
0.14,Moderate Ratio
0.07,Low Ratio
0.17,Moderate Ratio
4.44,High Ratio
0.07,Low Ratio
0.22,Moderate Ratio
0.1,Moderate Ratio
1.56,High Ratio
0.15,Moderate Ratio
0.07,Low Ratio
0.15,Moderate Ratio
0.06,Low Ratio
0.18,Moderate Ratio
0.44,High Ratio
0.07,Low Ratio
0.15,Moderate Ratio
1.11,High Ratio
0.17,Moderate Ratio
0.04,Low Ratio
0.14,Moderate Ratio
0.26,Moderate Ratio
0.15,Moderate Ratio
0.28,Moderate Ratio
0.07,Low Ratio
0.06,Low Ratio
0.04,Low Ratio
0.17,Moderate Ratio
2.87,High Ratio
0.62,High Ratio
0.06,Low Ratio
0.15,Moderate Ratio
0.08,Low Ratio
0.08,Low Ratio
0.07,Low Ratio
1.67,High Ratio
0.24,Moderate Ratio
0.11,Moderate Ratio
0.23,Moderate Ratio
0.19,Moderate Ratio
1.67,High Ratio
0.06,Low Ratio
1.46,High Ratio
0.09,Low Ratio
0.09,Low Ratio
0.21,Moderate Ratio
0.18,Moderate Ratio
0.03,Low Ratio
1.6,High Ratio
0.31,High Ratio
2.25,High Ratio
0.13,Moderate Ratio
0.5,High Ratio
1.67,High Ratio
0.89,High Ratio
0.06,Low Ratio
0.65,High Ratio
0.17,Moderate Ratio
0.26,Moderate Ratio
1.14,High Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
0.16,Moderate Ratio
0.03,Low Ratio
0.06,Low Ratio
0.16,Moderate Ratio
0.25,Moderate Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
3.08,High Ratio
0.18,Moderate Ratio
0.28,Moderate Ratio
0.1,Moderate Ratio
0.83,High Ratio
0.11,Moderate Ratio
1.0,High Ratio
0.23,Moderate Ratio
0.25,Moderate Ratio
0.07,Low Ratio
0.05,Low Ratio
0.09,Low Ratio
0.24,Moderate Ratio
0.21,Moderate Ratio
0.08,Low Ratio
1.79,High Ratio
0.02,Low Ratio
1.17,High Ratio
0.18,Moderate Ratio
0.17,Moderate Ratio
0.07,Low Ratio
0.17,Moderate Ratio
0.1,Moderate Ratio
1.44,High Ratio
0.47,High Ratio
0.91,High Ratio
0.16,Moderate Ratio
0.2,Moderate Ratio
0.06,Low Ratio
0.06,Low Ratio
0.24,Moderate Ratio
0.07,Low Ratio
1.79,High Ratio
0.02,Low Ratio
2.61,High Ratio
0.08,Low Ratio
0.1,Low Ratio
0.2,Moderate Ratio
0.07,Low Ratio
0.14,Moderate Ratio
0.05,Low Ratio
0.13,Moderate Ratio
0.29,Moderate Ratio
0.1,Moderate Ratio
0.26,Moderate Ratio
0.11,Moderate Ratio
1.11,High Ratio
0.2,Moderate Ratio
1.88,High Ratio
0.18,Moderate Ratio
0.07,Low Ratio
0.19,Moderate Ratio
0.05,Low Ratio
0.14,Moderate Ratio
0.17,Moderate Ratio
0.06,Low Ratio
0.07,Low Ratio
2.93,High Ratio
0.03,Low Ratio
0.08,Low Ratio
0.17,Moderate Ratio
0.21,Moderate Ratio
0.24,Moderate Ratio
0.2,Moderate Ratio
0.13,Moderate Ratio
0.6,High Ratio
0.27,Moderate Ratio
0.97,High Ratio
0.19,Moderate Ratio
0.05,Low Ratio
0.23,Moderate Ratio
0.31,High Ratio
2.0,High Ratio
1.39,High Ratio
1.2,High Ratio
0.18,Moderate Ratio
0.22,Moderate Ratio
2.5,High Ratio
0.07,Low Ratio
1.0,High Ratio
0.04,Low Ratio
0.63,High Ratio
3.08,High Ratio
0.15,Moderate Ratio
0.08,Low Ratio
0.27,Moderate Ratio
0.14,Moderate Ratio
1.51,High Ratio
0.07,Low Ratio
0.23,Moderate Ratio
2.5,High Ratio
1.7,High Ratio
0.23,Moderate Ratio
0.16,Moderate Ratio
0.95,High Ratio
0.73,High Ratio
0.19,Moderate Ratio
1.8,High Ratio
2.94,High Ratio
0.07,Low Ratio
0.14,Moderate Ratio
0.69,High Ratio
0.4,High Ratio
0.48,High Ratio
0.92,High Ratio
3.62,High Ratio
0.14,Moderate Ratio
1.62,High Ratio
0.31,High Ratio
0.15,Moderate Ratio
0.16,Moderate Ratio
0.33,High Ratio
0.19,Moderate Ratio
0.11,Moderate Ratio
0.25,Moderate Ratio
0.16,Moderate Ratio
0.07,Low Ratio
0.12,Moderate Ratio
0.23,Moderate Ratio
1.19,High Ratio
0.51,High Ratio
0.23,Moderate Ratio
0.11,Moderate Ratio
0.52,High Ratio
0.04,Low Ratio
0.18,Moderate Ratio
0.1,Moderate Ratio
1.63,High Ratio
0.08,Low Ratio
0.12,Moderate Ratio
1.71,High Ratio
0.12,Moderate Ratio
0.1,Moderate Ratio
0.67,High Ratio
0.05,Low Ratio
0.03,Low Ratio
0.12,Moderate Ratio
0.13,Moderate Ratio
0.18,Moderate Ratio
0.15,Moderate Ratio
1.67,High Ratio
0.04,Low Ratio
0.96,High Ratio
0.12,Moderate Ratio
0.06,Low Ratio
0.27,Moderate Ratio
0.14,Moderate Ratio
1.18,High Ratio
0.19,Moderate Ratio
0.29,Moderate Ratio
0.18,Moderate Ratio
0.12,Moderate Ratio
0.22,Moderate Ratio
1.33,High Ratio
0.27,Moderate Ratio
1.46,High Ratio
0.2,Moderate Ratio
2.67,High Ratio
0.25,Moderate Ratio
0.1,Moderate Ratio
0.07,Low Ratio
0.06,Low Ratio
0.19,Moderate Ratio
0.13,Moderate Ratio
0.1,Low Ratio
0.06,Low Ratio
0.14,Moderate Ratio
0.06,Low Ratio
2.5,High Ratio
0.86,High Ratio
0.07,Low Ratio
0.13,Moderate Ratio
2.68,High Ratio
0.14,Moderate Ratio
0.03,Low Ratio
0.08,Low Ratio
0.18,Moderate Ratio
0.26,Moderate Ratio
0.34,High Ratio
1.5,High Ratio
0.15,Moderate Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
0.1,Moderate Ratio
0.13,Moderate Ratio
0.4,High Ratio
0.16,Moderate Ratio
0.06,Low Ratio
0.17,Moderate Ratio
2.1,High Ratio
0.22,Moderate Ratio
3.5,High Ratio
1.03,High Ratio
1.58,High Ratio
0.1,Moderate Ratio
1.88,High Ratio
2.45,High Ratio
2.37,High Ratio
1.33,High Ratio
0.13,Moderate Ratio
2.85,High Ratio
0.3,High Ratio
4.19,High Ratio
1.74,High Ratio
0.3,High Ratio
0.12,Moderate Ratio
0.28,Moderate Ratio
0.2,Moderate Ratio
0.04,Low Ratio
0.16,Moderate Ratio
4.26,High Ratio
2.14,High Ratio
0.3,High Ratio
0.1,Moderate Ratio
0.06,Low Ratio
0.37,High Ratio
1.5,High Ratio
0.06,Low Ratio
0.3,Moderate Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
0.1,Moderate Ratio
2.78,High Ratio
0.3,Moderate Ratio
1.92,High Ratio
0.6,High Ratio
0.23,Moderate Ratio
0.21,Moderate Ratio
0.13,Moderate Ratio
1.43,High Ratio
0.11,Moderate Ratio
0.38,High Ratio
2.22,High Ratio
0.07,Low Ratio
2.67,High Ratio
0.24,Moderate Ratio
0.05,Low Ratio
1.43,High Ratio
0.32,High Ratio
0.12,Moderate Ratio
0.07,Low Ratio
0.11,Moderate Ratio
0.06,Low Ratio
0.08,Low Ratio
0.15,Moderate Ratio
0.29,Moderate Ratio
0.18,Moderate Ratio
0.12,Moderate Ratio
0.04,Low Ratio
0.14,Moderate Ratio
0.59,High Ratio
0.06,Low Ratio
0.12,Moderate Ratio
0.1,Moderate Ratio
0.22,Moderate Ratio
0.92,High Ratio
0.17,Moderate Ratio
1.49,High Ratio
0.2,Moderate Ratio
0.03,Low Ratio
1.06,High Ratio
0.16,Moderate Ratio
0.04,Low Ratio
0.38,High Ratio
0.8,High Ratio
0.16,Moderate Ratio
0.15,Moderate Ratio
0.15,Moderate Ratio
0.14,Moderate Ratio
0.24,Moderate Ratio
2.0,High Ratio
0.89,High Ratio
0.1,Moderate Ratio
0.18,Moderate Ratio
0.15,Moderate Ratio
0.12,Moderate Ratio
0.17,Moderate Ratio
0.13,Moderate Ratio
0.14,Moderate Ratio
0.1,Moderate Ratio
0.18,Moderate Ratio
0.18,Moderate Ratio
0.12,Moderate Ratio
0.13,Moderate Ratio
0.2,Moderate Ratio
0.05,Low Ratio
0.06,Low Ratio
4.39,High Ratio
0.05,Low Ratio
0.2,Moderate Ratio
0.63,High Ratio
0.14,Moderate Ratio
2.78,High Ratio
0.21,Moderate Ratio
0.05,Low Ratio
0.25,Moderate Ratio
1.31,High Ratio
0.05,Low Ratio
0.17,Moderate Ratio
0.27,Moderate Ratio
0.16,Moderate Ratio
0.1,Moderate Ratio
0.23,Moderate Ratio
0.75,High Ratio
0.13,Moderate Ratio
0.05,Low Ratio
0.19,Moderate Ratio
0.5,High Ratio
0.12,Moderate Ratio
0.23,Moderate Ratio
0.07,Low Ratio
0.29,Moderate Ratio
0.04,Low Ratio
0.11,Moderate Ratio
0.05,Low Ratio
0.88,High Ratio
0.09,Low Ratio
0.03,Low Ratio
0.96,High Ratio
1.13,High Ratio
0.09,Low Ratio
0.3,High Ratio
0.24,Moderate Ratio
0.29,Moderate Ratio
0.69,High Ratio
0.19,Moderate Ratio
0.12,Moderate Ratio
2.5,High Ratio
0.23,Moderate Ratio
0.22,Moderate Ratio
0.17,Moderate Ratio
0.21,Moderate Ratio
0.43,High Ratio
0.12,Moderate Ratio
0.26,Moderate Ratio
2.78,High Ratio
0.2,Moderate Ratio
0.43,High Ratio
0.09,Low Ratio
0.16,Moderate Ratio
1.85,High Ratio
0.2,Moderate Ratio
0.25,Moderate Ratio
1.82,High Ratio
2.5,High Ratio
0.33,High Ratio
1.2,High Ratio
0.07,Low Ratio
0.12,Moderate Ratio
2.29,High Ratio
0.2,Moderate Ratio
0.08,Low Ratio
0.19,Moderate Ratio
0.09,Low Ratio
0.14,Moderate Ratio
0.23,Moderate Ratio
0.03,Low Ratio
1.21,High Ratio
0.06,Low Ratio
0.2,Moderate Ratio
0.09,Low Ratio
0.18,Moderate Ratio
1.6,High Ratio
0.05,Low Ratio
0.04,Low Ratio
1.28,High Ratio
0.83,High Ratio
0.17,Moderate Ratio
0.2,Moderate Ratio
0.11,Moderate Ratio
0.14,Moderate Ratio
1.55,High Ratio
0.09,Low Ratio
0.33,High Ratio
0.1,Moderate Ratio
0.09,Low Ratio
0.25,Moderate Ratio
0.63,High Ratio
0.67,High Ratio
0.25,Moderate Ratio
0.14,Moderate Ratio
0.04,Low Ratio
0.27,Moderate Ratio
0.77,High Ratio
0.26,Moderate Ratio
0.13,Moderate Ratio
1.68,High Ratio
0.15,Moderate Ratio
4.0,High Ratio
2.0,High Ratio
0.14,Moderate Ratio
0.41,High Ratio
0.58,High Ratio
0.33,High Ratio
0.11,Moderate Ratio
1.28,High Ratio
0.07,Low Ratio
0.13,Moderate Ratio
0.17,Moderate Ratio
0.34,High Ratio
0.2,Moderate Ratio
0.11,Moderate Ratio
0.21,Moderate Ratio
0.19,Moderate Ratio
0.23,Moderate Ratio
0.1,Moderate Ratio
0.19,Moderate Ratio
0.92,High Ratio
0.17,Moderate Ratio
0.09,Low Ratio
0.42,High Ratio
0.13,Moderate Ratio
0.09,Low Ratio
0.09,Low Ratio
0.4,High Ratio
0.17,Moderate Ratio
3.39,High Ratio
1.76,High Ratio
0.5,High Ratio
0.24,Moderate Ratio
0.83,High Ratio
0.1,Moderate Ratio
0.11,Moderate Ratio
0.06,Low Ratio
0.08,Low Ratio
0.2,Moderate Ratio
0.25,Moderate Ratio
0.16,Moderate Ratio
1.29,High Ratio
0.33,High Ratio
0.2,Moderate Ratio
0.15,Moderate Ratio
0.25,Moderate Ratio
0.17,Moderate Ratio
0.14,Moderate Ratio
1.25,High Ratio
0.2,Moderate Ratio
0.1,Low Ratio
0.8,High Ratio
0.17,Moderate Ratio
0.2,Moderate Ratio
0.3,Moderate Ratio
0.05,Low Ratio
0.06,Low Ratio
0.29,Moderate Ratio
0.19,Moderate Ratio
0.93,High Ratio
0.14,Moderate Ratio
0.6,High Ratio
0.05,Low Ratio
0.19,Moderate Ratio
0.04,Low Ratio
0.11,Moderate Ratio
1.68,High Ratio
0.08,Low Ratio
1.23,High Ratio
0.17,Moderate Ratio
0.63,High Ratio
0.21,Moderate Ratio
0.38,High Ratio
0.15,Moderate Ratio
3.33,High Ratio
0.1,Moderate Ratio
3.0,High Ratio
0.03,Low Ratio
0.22,Moderate Ratio
0.2,Moderate Ratio
0.14,Moderate Ratio
1.9,High Ratio
1.5,High Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
2.55,High Ratio
0.18,Moderate Ratio
0.02,Low Ratio
0.23,Moderate Ratio
0.08,Low Ratio
0.1,Moderate Ratio
0.19,Moderate Ratio
0.33,High Ratio
1.71,High Ratio
0.25,Moderate Ratio
0.17,Moderate Ratio
0.04,Low Ratio
0.42,High Ratio
2.12,High Ratio
0.28,Moderate Ratio
0.21,Moderate Ratio
0.41,High Ratio
0.15,Moderate Ratio
0.17,Moderate Ratio
0.1,Moderate Ratio
0.12,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.45,High Ratio
0.13,Moderate Ratio
2.0,High Ratio
0.16,Moderate Ratio
0.23,Moderate Ratio
0.21,Moderate Ratio
0.3,High Ratio
0.93,High Ratio
3.75,High Ratio
1.33,High Ratio
0.13,Moderate Ratio
0.06,Low Ratio
0.28,Moderate Ratio
0.04,Low Ratio
0.13,Moderate Ratio
0.08,Low Ratio
1.08,High Ratio
0.08,Low Ratio
1.6,High Ratio
0.17,Moderate Ratio
1.78,High Ratio
0.05,Low Ratio
0.14,Moderate Ratio
1.36,High Ratio
2.67,High Ratio
0.12,Moderate Ratio
0.13,Moderate Ratio
0.08,Low Ratio
0.19,Moderate Ratio
0.77,High Ratio
0.24,Moderate Ratio
0.2,Moderate Ratio
1.67,High Ratio
0.08,Low Ratio
0.13,Moderate Ratio
0.06,Low Ratio
1.09,High Ratio
0.1,Moderate Ratio
2.67,High Ratio
0.04,Low Ratio
0.04,Low Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
1.55,High Ratio
0.34,High Ratio
0.27,Moderate Ratio
1.43,High Ratio
0.09,Low Ratio
0.3,Moderate Ratio
0.29,Moderate Ratio
3.33,High Ratio
0.05,Low Ratio
0.08,Low Ratio
0.06,Low Ratio
1.67,High Ratio
0.1,Moderate Ratio
0.13,Moderate Ratio
0.1,Moderate Ratio
0.14,Moderate Ratio
0.07,Low Ratio
0.19,Moderate Ratio
2.86,High Ratio
0.57,High Ratio
0.83,High Ratio
3.0,High Ratio
0.21,Moderate Ratio
0.2,Moderate Ratio
3.03,High Ratio
1.79,High Ratio
1.06,High Ratio
0.09,Low Ratio
0.67,High Ratio
0.18,Moderate Ratio
0.14,Moderate Ratio
2.14,High Ratio
0.16,Moderate Ratio
0.31,High Ratio
0.19,Moderate Ratio
0.11,Moderate Ratio
0.23,Moderate Ratio
1.33,High Ratio
0.34,High Ratio
0.34,High Ratio
0.17,Moderate Ratio
0.1,Low Ratio
0.08,Low Ratio
0.14,Moderate Ratio
0.27,Moderate Ratio
1.43,High Ratio
0.18,Moderate Ratio
2.13,High Ratio
0.19,Moderate Ratio
0.27,Moderate Ratio
0.05,Low Ratio
0.46,High Ratio
0.3,Moderate Ratio
0.17,Moderate Ratio
0.18,Moderate Ratio
0.14,Moderate Ratio
0.08,Low Ratio
1.39,High Ratio
0.15,Moderate Ratio
0.11,Moderate Ratio
2.0,High Ratio
1.75,High Ratio
0.52,High Ratio
0.22,Moderate Ratio
0.34,High Ratio
2.08,High Ratio
0.27,Moderate Ratio
1.36,High Ratio
0.1,Moderate Ratio
1.68,High Ratio
0.19,Moderate Ratio
0.05,Low Ratio
0.06,Low Ratio
1.08,High Ratio
0.04,Low Ratio
0.15,Moderate Ratio
0.12,Moderate Ratio
0.27,Moderate Ratio
0.1,Low Ratio
0.02,Low Ratio
0.14,Moderate Ratio
0.95,High Ratio
0.09,Low Ratio
0.17,Moderate Ratio
